@2022-02-23 Wednesday 15:49:43 [logger.py -- write]68 : INFO - epoch: 31, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.865000, train_avg_loss: 0.000044, validate_avg_loss: 0.943718, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 15:54:36 [logger.py -- write]68 : INFO - epoch: 32, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.865000, train_avg_loss: 0.000039, validate_avg_loss: 0.992587, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 15:59:31 [logger.py -- write]68 : INFO - epoch: 33, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.860000, train_avg_loss: 0.000059, validate_avg_loss: 0.950666, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 16:04:26 [logger.py -- write]68 : INFO - epoch: 34, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.865000, train_avg_loss: 0.000042, validate_avg_loss: 1.004668, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 16:09:21 [logger.py -- write]68 : INFO - epoch: 35, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.860000, train_avg_loss: 0.000038, validate_avg_loss: 0.959755, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 16:14:19 [logger.py -- write]68 : INFO - epoch: 36, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.865000, train_avg_loss: 0.000030, validate_avg_loss: 0.977754, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 16:19:12 [logger.py -- write]68 : INFO - epoch: 37, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.865000, train_avg_loss: 0.000032, validate_avg_loss: 1.003113, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 16:24:03 [logger.py -- write]68 : INFO - epoch: 38, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.865000, train_avg_loss: 0.000025, validate_avg_loss: 0.991762, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 16:28:55 [logger.py -- write]68 : INFO - epoch: 39, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.865000, train_avg_loss: 0.000029, validate_avg_loss: 1.014964, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 16:33:51 [logger.py -- write]68 : INFO - epoch: 40, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.865000, train_avg_loss: 0.000028, validate_avg_loss: 1.022267, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 16:38:39 [logger.py -- write]68 : INFO - epoch: 41, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.865000, train_avg_loss: 0.000021, validate_avg_loss: 1.038957, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 16:43:30 [logger.py -- write]68 : INFO - epoch: 42, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.865000, train_avg_loss: 0.000023, validate_avg_loss: 1.044060, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 16:48:21 [logger.py -- write]68 : INFO - epoch: 43, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.865000, train_avg_loss: 0.000018, validate_avg_loss: 1.006060, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 16:53:11 [logger.py -- write]68 : INFO - epoch: 44, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.865000, train_avg_loss: 0.000025, validate_avg_loss: 1.021553, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 16:58:01 [logger.py -- write]68 : INFO - epoch: 45, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.865000, train_avg_loss: 0.000020, validate_avg_loss: 0.991812, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 17:42:35 [logger.py -- write]68 : INFO - epoch: 1, lr: 0.000100, eval_train: 0.788571, eval_validate: 0.860000, train_avg_loss: 0.489675, validate_avg_loss: 0.408791, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 17:47:27 [logger.py -- write]68 : INFO - epoch: 2, lr: 0.000100, eval_train: 0.847143, eval_validate: 0.860000, train_avg_loss: 0.414557, validate_avg_loss: 0.410064, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 17:52:22 [logger.py -- write]68 : INFO - epoch: 3, lr: 0.000100, eval_train: 0.847143, eval_validate: 0.860000, train_avg_loss: 0.401494, validate_avg_loss: 0.626606, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 17:57:13 [logger.py -- write]68 : INFO - epoch: 4, lr: 0.000100, eval_train: 0.865714, eval_validate: 0.795000, train_avg_loss: 0.344860, validate_avg_loss: 0.501880, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 18:02:07 [logger.py -- write]68 : INFO - epoch: 5, lr: 0.000100, eval_train: 0.883571, eval_validate: 0.280000, train_avg_loss: 0.292635, validate_avg_loss: 1.299841, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 18:06:59 [logger.py -- write]68 : INFO - epoch: 6, lr: 0.000100, eval_train: 0.955000, eval_validate: 0.815000, train_avg_loss: 0.138922, validate_avg_loss: 0.449835, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 18:11:51 [logger.py -- write]68 : INFO - epoch: 7, lr: 0.000100, eval_train: 0.988571, eval_validate: 0.855000, train_avg_loss: 0.048227, validate_avg_loss: 0.439266, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 18:16:44 [logger.py -- write]68 : INFO - epoch: 8, lr: 0.000100, eval_train: 0.999286, eval_validate: 0.860000, train_avg_loss: 0.011082, validate_avg_loss: 0.628219, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 18:21:34 [logger.py -- write]68 : INFO - epoch: 9, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.860000, train_avg_loss: 0.003416, validate_avg_loss: 0.700057, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 18:26:26 [logger.py -- write]68 : INFO - epoch: 10, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.860000, train_avg_loss: 0.002235, validate_avg_loss: 0.746753, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 18:31:18 [logger.py -- write]68 : INFO - epoch: 11, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.860000, train_avg_loss: 0.001691, validate_avg_loss: 0.743665, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 18:36:13 [logger.py -- write]68 : INFO - epoch: 12, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.860000, train_avg_loss: 0.001264, validate_avg_loss: 0.800970, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 18:44:44 [logger.py -- write]68 : INFO - epoch: 1, lr: 0.000100, eval_train: 0.787143, eval_validate: 0.860000, train_avg_loss: 0.487073, validate_avg_loss: 0.415549, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 19:05:14 [logger.py -- write]68 : INFO - epoch: 1, lr: 0.000100, eval_train: 0.375000, eval_validate: 0.860000, train_avg_loss: 0.698755, validate_avg_loss: 0.635960, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 19:11:53 [logger.py -- write]68 : INFO - epoch: 1, lr: 0.000100, eval_train: 0.695000, eval_validate: 0.530000, train_avg_loss: 0.585738, validate_avg_loss: 0.760058, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 19:16:43 [logger.py -- write]68 : INFO - epoch: 2, lr: 0.000100, eval_train: 0.907857, eval_validate: 0.830000, train_avg_loss: 0.260722, validate_avg_loss: 0.416281, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 19:21:30 [logger.py -- write]68 : INFO - epoch: 3, lr: 0.000100, eval_train: 0.985714, eval_validate: 0.865000, train_avg_loss: 0.069255, validate_avg_loss: 0.527839, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 19:26:13 [logger.py -- write]68 : INFO - epoch: 4, lr: 0.000100, eval_train: 0.997143, eval_validate: 0.860000, train_avg_loss: 0.023782, validate_avg_loss: 0.586318, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 19:31:00 [logger.py -- write]68 : INFO - epoch: 5, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.860000, train_avg_loss: 0.006986, validate_avg_loss: 0.709699, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 19:35:51 [logger.py -- write]68 : INFO - epoch: 6, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.860000, train_avg_loss: 0.003918, validate_avg_loss: 0.780254, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 19:40:39 [logger.py -- write]68 : INFO - epoch: 7, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.860000, train_avg_loss: 0.002581, validate_avg_loss: 0.670314, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 19:45:28 [logger.py -- write]68 : INFO - epoch: 8, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.860000, train_avg_loss: 0.001848, validate_avg_loss: 0.700283, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 19:50:18 [logger.py -- write]68 : INFO - epoch: 9, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.860000, train_avg_loss: 0.001622, validate_avg_loss: 0.765534, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
